balance,account_age_days,avg_loan_amount,income,credit_score,credit_amount,application_date,last_contact,income_to_credit_ratio,city,birth_date,years_at_job,client_id,application_id,address,previous_loans,late_payments_3y,employment_type,owns_car,owns_house,default
4237.17,3012,16412,30484.0,447,89427,2025-03-25,2025-05-08,0.3408813892895881,Judyhaven,1980-07-06,34,C-50440,APP-2023-729890,"5215 Moore Overpass Suite 728
Port Rachel, AL 27190",1,4,Self-employed,0,0,0
4587.01,2480,16142,32861.0,345,7604,2025-01-31,2025-02-13,4.32154129405576,South Sarah,1953-09-27,24,C-371718,APP-2023-336636,"Unit 5235 Box 7532
DPO AP 71690",0,2,Permanent,1,1,0
7125.14,2566,39351,14612.0,381,116189,2024-07-29,2024-08-26,0.1257606141717374,Lake Jessica,1952-06-29,37,C-965201,APP-2023-706519,"21736 Johnston Glens Suite 082
Crossstad, PA 46754",3,3,Unemployed,1,1,0
3406.9,3072,45271,26954.0,752,194200,2025-03-22,2025-05-22,0.1387950566426364,Port Michellemouth,1987-04-29,23,C-242165,APP-2023-277091,"652 Miller Mills
Keithmouth, NY 71049",2,2,Permanent,1,0,1
260.28,2232,14713,45297.0,816,167294,2025-07-04,2025-09-07,0.2707628486377276,North Jessicabury,1978-09-24,39,C-570563,APP-2023-773360,"553 Melissa Flats
Williamsside, MD 34058",4,1,Unemployed,1,0,0
6921.61,2855,22765,21262.0,769,74865,2024-10-20,2024-11-13,0.2840045415080478,South Aaron,1973-06-20,30,C-431515,APP-2023-473101,"32827 Michael Locks Apt. 899
Johnchester, SC 77587",2,1,Permanent,1,1,0
5976.54,2660,29624,36082.0,762,50705,2024-11-07,2024-12-12,0.7116063504585347,South Victoria,1975-08-26,14,C-751708,APP-2023-934892,"6866 Jones Estates
North Kariside, AR 49662",3,1,Permanent,1,0,0
6597.08,2251,31242,22936.0,627,102584,2024-09-20,2024-10-29,0.2235826249707556,South Christopher,1998-06-28,35,C-280103,APP-2023-741099,"430 James Junction
Andersonbury, NV 78108",1,1,Permanent,1,0,0
3461.77,3158,21703,10606.0,639,176654,2024-07-27,2024-08-12,0.0600382668946075,North Pamelaview,1950-07-26,37,C-491867,APP-2023-284743,"697 Cross Valleys
Freemanfort, KY 82214",0,3,Permanent,1,0,0
6442.9,3447,1801,26702.0,554,90379,2025-05-10,2025-05-28,0.2954447382688456,Floresfurt,1998-08-16,28,C-48692,APP-2023-743381,"3002 Jones Place Suite 938
Riveraberg, MO 30174",3,1,Self-employed,1,0,0
6381.2,2204,38678,31732.0,831,57362,2024-08-13,2024-08-28,0.5531885220180608,North Connie,1952-08-20,31,C-90637,APP-2023-335840,"1125 Matthew Summit Apt. 136
Patricialand, MH 84823",0,1,Permanent,1,0,0
10103.29,2248,4218,46641.0,665,39189,2025-05-05,2025-06-04,1.1901554007502104,Port Tiffanyborough,1951-09-30,12,C-498042,APP-2023-606181,"PSC 8808, Box 5299
APO AP 73842",0,1,Temporary,1,0,0
4933.23,961,44254,10136.0,628,31805,2024-11-10,2025-01-19,0.3186920295551014,Robinsonberg,1975-04-13,20,C-561108,APP-2023-66713,"26342 Jones Oval
South Kenneth, HI 79608",1,2,Temporary,1,1,0
6297.03,2154,8109,55023.0,393,37724,2024-10-25,2024-12-09,1.4585674901919203,Port Cindytown,2005-10-15,17,C-126070,APP-2023-101129,"210 Espinoza Point Suite 449
New Deborah, FL 70274",0,3,Unemployed,1,1,0
9240.08,1755,33892,65221.0,740,52658,2025-02-07,2025-02-28,1.2385772342284174,South James,1997-09-27,5,C-431757,APP-2023-795451,"1488 Jessica Row Suite 926
South Robertville, MN 74407",1,1,Permanent,1,0,0
4597.04,2708,42207,35790.0,695,102888,2025-03-12,2025-06-02,0.3478539771401913,New Peterville,2006-08-18,38,C-285081,APP-2023-92569,"Unit 3821 Box 2473
DPO AA 73885",2,0,Permanent,1,0,0
7404.9,1892,44106,13102.0,636,153399,2025-01-13,2025-01-19,0.0854112477917066,Lake Breanna,1981-05-30,31,C-383535,APP-2023-594503,"215 Krystal Vista
Patrickburgh, MT 49434",2,0,Permanent,0,0,0
4623.77,1363,31660,38500.0,352,48554,2025-06-05,2025-07-14,0.792931581332125,Lake Lindsay,1978-10-29,37,C-987522,APP-2023-714158,"259 Mason Loaf Suite 822
East Stephaniemouth, DC 89209",4,1,Self-employed,1,1,0
9135.9,1410,32506,22565.0,393,103228,2024-11-21,2025-01-29,0.2185937923819118,Meganfurt,1965-03-09,21,C-451023,APP-2023-946547,"95656 Dale Trail
Lake Ronald, MD 58725",3,0,Permanent,0,1,0
6679.8,1426,14438,17428.0,632,132656,2025-03-06,2025-03-31,0.1313773971776625,Lake Raymondside,1975-07-03,10,C-852749,APP-2023-625907,"17014 Nelson Run Apt. 829
Rileytown, VT 26612",2,1,Self-employed,1,1,0
4977.53,1919,15063,12300.0,815,154977,2025-04-03,2025-06-05,0.0793666156913606,Jillfort,1944-11-30,35,C-170628,APP-2023-926453,"7753 Melissa Trafficway Suite 332
Estesland, VT 26191",4,2,Permanent,1,0,0
